Title,Author,Released,Purchased,Medium,Type,Category,Methodology,Theme1,Theme2,Theme3,Theme4,Theme5
The Principles of Product Development Flow,Donald G. Reinertsen,2009,2018-06-29,Kindle,Knowledge,Product,,flow,delivery,product-thinking,lean,
Team of Teams,General Stanley McChrystal & David Silverman & Tantum Collins & Chris Fussell,2015,2018-06-29,Audible,Knowledge,Leadership,,leadership,complexity,strategy,systems-thinking,
The Art of Business Value,Mark Schwartz,2016,2018-06-28,Audible,Knowledge,Strategy,,business-value,strategy,delivery,agile,
SAFe 4.0 Distilled,Richard Knaster & Dean Leffingwell,2017,2018-06-20,Kindle,Knowledge,Agile & Lean,SAFe,agile,delivery,business-agility,lean,
SAFe 4.0 Distilled,Richard Knaster & Dean Leffingwell,2017,2018-06-20,Kindle,Knowledge,Agile & Lean,SAFe,agile,delivery,business-agility,lean,
Die Tyrannei des Schmetterlings,Frank Schätzing,2018,2018-06-18,Audible,Story,Thriller,,future-scenarios,ai-impact,power-dynamics,ethics,
Leviathan erwacht,James S. A. Corey,2011,2018-06-16,Audible,Story,Space Opera,,civilization,future-scenarios,complexity,emergence,
SAFe 4.5 Reference Guide,Dean Leffingwell,2018,2018-06-12,Kindle,Reference,Technical,SAFe,agile,delivery,business-agility,,
SAFe 4.5 Reference Guide,Dean Leffingwell,2018,2018-06-12,Kindle,Reference,Technical,SAFe,agile,delivery,business-agility,,
Die Optimierer,Theresa Hannig,2017,2018-06-12,Audible,Story,Near Future,,future-scenarios,ai-impact,power-dynamics,ethics,
Conquer Habits,Kyle Richey,2018,2018-06-02,Kindle,Knowledge,Health,,identity,human-behavior,health,,
Conquer Habits,Kyle Richey,2018,2018-06-02,Kindle,Knowledge,Health,,identity,human-behavior,health,,
BPMN 2.0,Thomas Allweyer,2016,2018-06-01,Kindle,Reference,Technical,,flow,delivery,digital,,
BPMN 2.0,Thomas Allweyer,2016,2018-06-01,Kindle,Reference,Technical,,flow,delivery,digital,,
Cosmosapiens,John Hands,2015,2018-05-30,Kindle,Knowledge,Science,,evolution,civilization,complexity,emergence,
Cosmosapiens,John Hands,2015,2018-05-30,Kindle,Knowledge,Science,,evolution,civilization,complexity,emergence,
Hit Refresh,Satya Nadella & Bill Gates,2017,2018-05-27,Audible,Knowledge,Leadership,,leadership,strategy,digital,business-agility,
IO,Brandon Q. Morris,2018,2018-05-25,Audible,Story,Hard Science,,future-scenarios,evolution,consciousness,ai-impact,
The DevOps Handbook,Gene Kim & Jez Humble & Patrick Debois & John Willis,2016,2018-05-17,Kindle,Knowledge,DevOps,DevOps,delivery,lean,flow,digital,
Der Präsident,Sam Bourne,2018,2018-05-08,Audible,Story,Thriller,,power-dynamics,strategy,future-scenarios,,
Storytelling,Petra Sammer,2014,2018-05-04,Kindle,Knowledge,Communication,,creativity,influence,strategy,human-behavior,
Storytelling für Unternehmen,Miriam Rupp,2016,2018-05-04,Kindle,Knowledge,Communication,,creativity,influence,strategy,human-behavior,
Content Marketing,Stephan Heinrich,2017,2018-05-04,Kindle,Knowledge,Communication,,customer-centricity,digital,influence,strategy,
Das Erwachen,Andreas Brandhorst,2018,2018-05-04,Audible,Story,Space Opera,,future-scenarios,civilization,ai-impact,consciousness,
How Not to Be Wrong,Jordan Ellenberg,2014,2018-04-29,Audible,Knowledge,Science,,systems-thinking,complexity,human-behavior,strategy,
An Astronaut's Guide to Life on Earth,Chris Hadfield,2013,2018-04-29,Audible,Knowledge,Biography,,leadership,identity,human-behavior,strategy,
Titan,Brandon Q. Morris,2018,2018-04-27,Audible,Story,Hard Science,,future-scenarios,evolution,ai-impact,consciousness,
The DevOps Handbook,Gene Kim & Patrick Debois & John Willis & Jez Humble,2016,2018-04-27,Audible,Knowledge,DevOps,DevOps,delivery,lean,flow,digital,
Marketing 4.0,Philip Kotler & Hermawan Kartajaya & Iwan Setiawan,2017,2018-04-26,Kindle,Knowledge,Communication,,customer-centricity,digital,influence,strategy,
Vom Einfachen das Beste,Franz Keller,2013,2018-04-20,Kindle,Reference,Lifestyle,,creativity,,,,
Algorithms to Live By,Brian Christian & Griffiths,2016,2018-04-16,Kindle,Knowledge,Science,,systems-thinking,strategy,human-behavior,complexity,
The Master Algorithm,Pedro Domingos,2015,2018-04-16,Kindle,Knowledge,AI,,ai-impact,future-scenarios,evolution,complexity,
Superintelligence,Nick Bostrom,2014,2018-04-16,Audible,Knowledge,AI,,ai-impact,future-scenarios,ethics,consciousness,
The Culture Map,Erin Meyer,2014,2018-04-13,Kindle,Knowledge,Anthropology,,civilization,human-behavior,identity,power-dynamics,
Thinking in Systems,Donella H. Meadows & Diana Wright,2008,2018-04-13,Kindle,Knowledge,Systems Thinking,Systems-Modeling,systems-thinking,complexity,emergence,flow,
The Fifth Discipline,Peter M. Senge,2006,2018-04-13,Kindle,Knowledge,Systems Thinking,,systems-thinking,complexity,emergence,leadership,
Reinventing Organizations,Frédéric Laloux,2014,2018-04-13,Kindle,Knowledge,Organization,,leadership,complexity,business-agility,emergence,
Cosmosapiens,John Hands,2015,2018-04-07,Audible,Knowledge,Science,,evolution,civilization,complexity,emergence,
1000 Places To See Before You Die,Patricia Schultz,2003,2018-04-06,Kindle,Reference,Lifestyle,,future-scenarios,,,,
Algorithms to Live By,Brian Christian & Tom Griffiths,2016,2018-04-06,Audible,Knowledge,Science,,systems-thinking,complexity,human-behavior,strategy,
The Post-Human Omnibus,David Simpson,2014,2018-04-06,Audible,Story,Post-Human,,ai-impact,future-scenarios,evolution,consciousness,
Holacracy,Brian J. Robertson,2015,2018-04-05,Audible,Knowledge,Organization,,leadership,complexity,business-agility,emergence,
Hologrammatica,Tom Hillenbrand,2018,2018-04-04,Audible,Story,Near Future,,future-scenarios,ai-impact,consciousness,ethics,
Never Split the Difference,Chris Voss,2016,2018-04-01,Audible,Knowledge,Communication,,influence,strategy,human-behavior,,
Skin in the Game,Nassim Nicholas Taleb,2018,2018-03-25,Audible,Knowledge,Economics,,strategy,ethics,human-behavior,systems-thinking,
Thinking in Bets,Annie Duke,2018,2018-03-14,Audible,Knowledge,Strategy,,strategy,human-behavior,ethics,complexity,
SAFe – Das Scaled Agile Framework,Christoph Mathis,2018,2018-03-13,Kindle,Knowledge,Agile & Lean,SAFe,agile,delivery,business-agility,lean,
Life 3.0,Max Tegmark,2017,2018-03-07,Audible,Knowledge,AI,,ai-impact,future-scenarios,ethics,consciousness,
Skin in the Game,Nassim Nicholas Taleb,2018,2018-02-27,Kindle,Knowledge,Economics,,strategy,ethics,human-behavior,systems-thinking,
Mapping Experiences,Jim Kalbach,2016,2018-02-24,Kindle,Knowledge,Design,,user-experience,customer-centricity,design-thinking,product-thinking,
Apex,Ramez Naam,2015,2018-02-22,Audible,Story,Post-Human,,ai-impact,future-scenarios,evolution,consciousness,
A Little Book about Requirements and User Stories,Allan Kelly,2018,2018-02-18,Kindle,Knowledge,Agile & Lean,,agile,delivery,product-thinking,customer-centricity,
Enceladus,Brandon Q. Morris,2018,2018-02-08,Audible,Story,Hard Science,,future-scenarios,evolution,ai-impact,,
Spiegel,Liu Cixin,2003,2018-02-06,Audible,Story,Classic SF,,civilization,future-scenarios,emergence,,
9 giorni,Gilly Macmillan,2016,2018-01-27,Kindle,Story,Crime,,human-behavior,power-dynamics,,,
Rumänien Reiseführer Michael Müller Verlag,Diana Stanescu & Stefan Sedlmair,2018,2018-01-20,Kindle,Reference,Lifestyle,,future-scenarios,,,,
Das Leben gestalten mit den Big Five for Life,John Strelecky,2007,2018-01-19,Audible,Knowledge,Leadership,,leadership,identity,strategy,human-behavior,
Rache,Alastair Reynolds,2018,2018-01-09,Kindle,Story,Space Opera,,civilization,future-scenarios,complexity,,
Il cacciatore di occhi,Sebastian Fitzek,2017,2018-01-07,Kindle,Story,Thriller,,human-behavior,power-dynamics,,,
Fire and Fury,Michael Wolff,2018,2018-01-07,Audible,Story,Politics,,power-dynamics,strategy,leadership,,
Infinity Born,Douglas E. Richards,2017,2018-01-07,Audible,Story,Near Future,,ai-impact,future-scenarios,evolution,consciousness,
Lean Six Sigma: Value Stream Mapping,Jerry Kershen,2016,2018-01-07,Audible,Knowledge,Agile & Lean,Six-Sigma,lean,flow,delivery,business-value,
The Rollout,Alex Yakyma,2018,2018-01-06,Kindle,Knowledge,Business Fiction,,agile,delivery,lean,systems-thinking,
Agile Verträge,Fritz-Ulli Pieper & Stefan Roock,2013,2018-01-06,Kindle,Knowledge,Agile & Lean,Agile-Generic,agile,delivery,business-agility,,
Inadequate Equilibria,Eliezer Yudkowsky,2017,2018-01-06,Kindle,Knowledge,Philosophy,,strategy,ethics,human-behavior,complexity,
The Elephant in the Brain,Robin Hanson,2018,2018-01-06,Kindle,Knowledge,Psychology,,human-behavior,strategy,ethics,power-dynamics,
Tyll,Daniel Kehlmann,2017,2018-01-05,Audible,Story,Historical Fiction,,civilization,identity,power-dynamics,,
Passagier 23,Sebastian Fitzek,2014,2018-01-05,Audible,Story,Thriller,,human-behavior,power-dynamics,,,
Large-Scale Scrum,Craig Larman & Bas Vodde,2016,2018-01-02,Kindle,Knowledge,Agile & Lean,LeSS,agile,delivery,business-agility,lean,
Il cacciatore del buio,Donato Carrisi,2014,2017-12-30,Kindle,Story,Crime,,human-behavior,power-dynamics,,,
Flug 39,Phillip Peterson,2017,2017-12-29,Audible,Story,Thriller,,future-scenarios,human-behavior,,,
Jenseits der Ewigkeit,Phillip P. Peterson,2017,2017-12-20,Audible,Story,Near Future,,future-scenarios,ai-impact,evolution,,
Artemis,Andy Weir,2017,2017-12-19,Audible,Story,Near Future,,future-scenarios,ai-impact,evolution,,
Unix in a Nutshell,Arnold Robbins,2005,2017-12-10,Kindle,Reference,Technical,,digital,delivery,,,
UNIX and Linux System Administration Handbook,Nemeth Evi & Snyder Garth & Hein Trent R. & Whaley Ben & Mackin Dan,2017,2017-12-05,Kindle,Reference,Technical,,digital,delivery,,,
Re:imagining Change,Patrick Reinsborough & Doyle Canning,2017,2017-11-30,Kindle,Knowledge,Organization,,strategy,influence,power-dynamics,human-behavior,
Politisches Framing,Elisabeth Wehling,2016,2017-11-19,Kindle,Knowledge,Communication,,influence,power-dynamics,strategy,human-behavior,
The Deadline,Tom DeMarco,1997,2017-11-18,Kindle,Story,Business Fiction,,delivery,complexity,systems-thinking,leadership,
BIOS,Daniel Suarez,2012,2017-11-18,Audible,Story,Near Future,,ai-impact,future-scenarios,evolution,consciousness,
PRINCE2 Agile®,AXELOS,2015,2017-11-16,Kindle,Knowledge,Agile & Lean,Agile-Generic,agile,delivery,business-agility,,
Lean Six Sigma!,Adam Vardy,2016,2017-11-16,Kindle,Knowledge,Agile & Lean,Six-Sigma,lean,flow,delivery,business-value,
The Consulting Bible,Alan Weiss,2011,2017-11-16,Kindle,Knowledge,Leadership,,strategy,influence,business-value,delivery,
Lean Six Sigma for Service,Michael L. George,2003,2017-11-16,Kindle,Knowledge,Agile & Lean,Six-Sigma,lean,flow,delivery,business-value,
Death's End,Cixin Liu & Ken Liu,2016,2017-11-11,Audible,Story,Space Opera,,civilization,future-scenarios,complexity,consciousness,
Kanban,David J. Anderson,2010,2017-11-07,Kindle,Knowledge,Agile & Lean,Kanban,agile,lean,flow,delivery,
The Primes,Chris McGoff,2012,2017-11-04,Kindle,Knowledge,Leadership,,leadership,strategy,power-dynamics,influence,
The Primes,Chris McGoff,2012,2017-11-04,Audible,Knowledge,Leadership,,leadership,strategy,power-dynamics,influence,
Chasm City,Alastair Reynolds,2001,2017-11-03,Audible,Story,Space Opera,,consciousness,ai-impact,future-scenarios,civilization,
The First 90 Days Updated and Expanded,Michael Watkins,2013,2017-10-23,Kindle,Knowledge,Leadership,,leadership,strategy,business-agility,,
Revelation Space,Alastair Reynolds,2000,2017-10-21,Audible,Story,Space Opera,,civilization,ai-impact,future-scenarios,chaos,
Nudge,Richard H. Thaler & Cass R. Sunstein,2008,2017-10-19,Audible,Knowledge,Economics,,human-behavior,influence,ethics,systems-thinking,
Mindreader,Patrick Lee,2010,2017-10-14,Audible,Story,Thriller,,identity,chaos,,,
Origin,Dan Brown,2017,2017-10-03,Audible,Story,Thriller,,ai-impact,future-scenarios,human-behavior,,
